0.0004829933800230 0.0003580406220407 0.0001551256694090 0.0215709763697762 0.0226078744952058 -0.0494428424867692 0.6108652559233782  1.8849555945253802 399.9463522261736400
0.0006389962840347 0.0007632998962785 0.0004702796995212 -0.0207050201606217 9.9502775382497521 0.0557022582883906 0.6108660448510177  1.8849555957021773 399.9441699565962300
0.0007309566587995 0.0011894324368911 0.0005057993045127 -0.0142217635013652 20.0325408434060890 -0.1208563645554599 0.6108684001636048  1.8849555924659493 399.9083745734312700
0.0009004199032027 0.0014477808196641 0.0005463222970566 -0.0007117458478478 29.9045470419303070 0.1266434782656530 0.6108723270167162  1.8849555900960626 399.9672251279414500
0.0012025015444150 0.0020107128447679 0.0008140644808760 -0.0352703745694597 40.0385340364987600 -0.1339803133565531 0.6108778344328920  1.8849555840362011 399.8435231252261100
0.0015521708695591 0.0021149450412147 0.0010185451366331 0.0251474222048658 49.9311048640786480 0.0637106479019629 0.6108849006162662  1.8849555877071127 399.9371305085695700
0.0017663161216189 0.0024739633447193 0.0011982952270358 -0.0228319952848483 60.0267308232976400 -0.0060274787005085 0.6108935604824679  1.8849555793408317 399.8922415578717800
0.0018833726045377 0.0030159169300543 0.0015333855245171 -0.0224170148141275 69.9772901566135200 -0.0073117128999611 0.6109037761396053  1.8849555713740083 399.8758289999500400
0.0017369053652555 0.0031648665767617 0.0018061568770292 0.0058949148985910 79.9939549895078700 0.0073603698610308 0.6109155736963975  1.8849555751515086 399.8831050066837100
0.0022260713937872 0.0035445674860223 0.0019446662099297 0.0026388783787604 89.9833203651855060 -0.0031889237569523 0.6109289384320389  1.8849555715006598 399.8543031297335200
0.0026432969206265 0.0040344766629330 0.0022007635731162 -0.0048879379685913 99.9898644046407410 -0.0068696177978857 0.6109438799980017  1.8849555653748360 399.8266547127855100
0.0029480636535194 0.0043960627860779 0.0024106421251158 -0.0040567943521207 100.0192776080297800 0.0065505333487141 0.6109596141221667  1.8849555654815482 399.8250235850174500
0.0037728730999902 0.0045801455089418 0.0026385281300921 -0.0225062209644890 100.0107505199047900 -0.0397112040537425 0.6109753419021985  1.8849555631654542 399.8078024966018800
0.0041351030397088 0.0048776681444215 0.0028437944824049 0.0233358288200214 100.0002121549274200 0.0588776669799114 0.6109910667501655  1.8849555653671368 399.8503391121323000
0.0041420608056938 0.0052277141137799 0.0029971171075415 -0.0079840045218759 100.0101481937431900 -0.0493106488071894 0.6110067994966856  1.8849555617060805 399.7773214616477200
0.0043746840021165 0.0057256647786890 0.0032002499630644 -0.0052314516140601 99.9918789400754950 0.0219803030248832 0.6110225201685047  1.8849555589714284 399.8256662359997300
0.0046937878168245 0.0059517946618149 0.0036498329444814 -0.0104903847272334 99.9972663589188780 0.0019388204285929 0.6110382492294983  1.8849555536576343 399.8019644778123600
0.0049539210575068 0.0061060531185523 0.0038598963530782 0.0142819237948195 100.0012583421831600 -0.0160404957578162 0.6110539784596489  1.8849555579446478 399.7544181797396200
0.0051706732482840 0.0063034145471793 0.0039987322496016 0.0112091505620819 99.9985996805027640 -0.0019659708884794 0.6110697049561826  1.8849555556317450 399.7557936736063800
0.0056176905318074 0.0070349180815848 0.0042244078522217 0.0099400219106348 100.0103884478932500 0.0027552589059838 0.6110854380665443  1.8849555529554691 399.7471494637101700
0.0062018560595073 0.0076596318322502 0.0044095831865089 -0.0106874515988374 100.0168099013871200 -0.0053316834137627 0.6111011705210139  1.8849555394765545 399.7067168261963800
0.0066116604825913 0.0079191978255105 0.0047762684021937 -0.0094981897356884 100.0109408199299400 -0.0006037940694578 0.6111168979444656  1.8849555329032064 399.6946703056673300
0.0067528649110684 0.0080075817381831 0.0048770646940096 0.0034168169996223 100.0136560981915500 0.0116040759796090 0.6111326285240524  1.8849555330592400 399.7097011372694100
0.0069684249881630 0.0080626434314244 0.0051231802959096 0.0027704590205441 99.9976117765388320 0.0146081773393175 0.6111483502837715  1.8849555277223087 399.7071511938141800
0.0072438075028386 0.0085392319420179 0.0054910303313864 0.0013223786167651 100.0086443390050900 0.0045698002103176 0.6111640830620539  1.8849555216547780 399.6534197874801200
0.0075348712859385 0.0088329450901672 0.0057754686395885 -0.0076899989213355 99.9967866559801450 0.0117900474608779 0.6111798058633472  1.8849555105548843 399.6572548741012800
0.0080283942551240 0.0094414202627598 0.0061737869969753 -0.0035672109140478 99.9971928944649310 0.0070187772866876 0.6111955330722281  1.8849555058278871 399.6160314300460600
0.0084089053806802 0.0097760385079464 0.0064179952984435 0.0033454681601705 99.9932723797507350 -0.0047353221311551 0.6112112580772701  1.8849555034162828 399.5357813946705500
0.0087871371897716 0.0101129448257734 0.0065279268305658 -0.0062658508754682 100.0074997192976100 -0.0037982155444408 0.6112269919443567  1.8849554924356358 399.4974713876763400
0.0090334185302986 0.0104323623466989 0.0063876844648227 -0.0050270569262992 100.0024706535268300 0.0041409728853160 0.6112427176891149  1.8849554860812088 399.4940130384942400
0.0091303453760399 0.0105728744159132 0.0065200956025351 -0.0075389798324864 99.9938588071677970 0.0084657297515915 0.6112584407443771  1.8849554778210915 399.4801082550796400
0.0094707235823736 0.0107520349286830 0.0065442096972841 -0.0128605880595580 100.0050452633982900 0.0088959176940033 0.6112741731709096  1.8849554673815208 399.4482134121682900
0.0101257163769287 0.0110117857756465 0.0066767707422903 -0.0052027992224704 100.0179518246941100 0.0057086092877825 0.6112899084371304  1.8849554634898105 399.3940213284273600
0.0104279405395702 0.0115431767714724 0.0070474319057901 0.0041624740571338 100.0081972604322000 0.0104641851690714 0.6113056328796094  1.8849554621820446 399.3799419967896300
0.0108478608877276 0.0118395403347306 0.0070358328661278 -0.0083906528317010 99.9966219133387280 0.0025402745915134 0.6113213547271285  1.8849554493196539 399.2964937894732900
0.0110657275053771 0.0122771853039341 0.0072055570838008 0.0030756527883596 99.9969590938042780 0.0098076041589865 0.6113370814748449  1.8849554485510789 399.2941529483591700
0.0114893599692723 0.0126718365824929 0.0075787038775510 0.0104396685561668 100.0162187238844600 0.0153546230555153 0.6113528194470006  1.8849554473083583 399.2863131565947000
0.0117600759907854 0.0132099088142027 0.0075497008266569 0.0186880797030323 100.0158685130933900 0.0122669130622146 0.6113685488823718  1.8849554478634687 399.2282208180151300
0.0120134196576722 0.0134696625370757 0.0079548062015195 0.0174792558268296 100.0106482206466200 0.0070817443766354 0.6113842752864107  1.8849554440907381 399.1519254330166900
0.0122671691239899 0.0136804091235710 0.0084188234904286 -0.0039497159152068 100.0093564524394300 0.0033601155187702 0.6114000032256418  1.8849554269897508 399.0769282572487100
0.0125561403853652 0.0141404664746641 0.0084857070496295 -0.0056461082643610 100.0011346989403600 0.0096619291309153 0.6114157266174756  1.8849554182880652 399.0670358074936500
0.0129692138822128 0.0142743212963801 0.0086278469823638 -0.0031578310392347 100.0146736229103800 0.0105636363454082 0.6114314621024588  1.8849554118359984 399.0238409512191400
0.0130177334455420 0.0148814088248471 0.0089879458258053 0.0046344146987718 100.0053698393333500 0.0075193817002367 0.6114471855359439  1.8849554092933589 398.9521133301795400
0.0134642165361945 0.0149250007385021 0.0093109306279161 0.0065202848830269 100.0050512571775700 0.0104271635461971 0.6114629130238107  1.8849554040974767 398.9188673535863400
0.0138207155735419 0.0149474472436098 0.0095250979320633 -0.0031348767516417 100.0010512880372000 0.0096240002059671 0.6114786382863943  1.8849553913224173 398.8597110744710200
0.0142567665723917 0.0152468540397245 0.0098951270220439 0.0164784677630769 100.0016675584047200 0.0071619863869862 0.6114943657474663  1.8849553967517567 398.7861264152859900
0.0146503351839154 0.0155063956600769 0.0100207451080875 0.0086899796149632 100.0010033571221000 0.0101420169625727 0.6115100925546384  1.8849553867737587 398.7502547466045300
0.0149482559705899 0.0154042312183060 0.0103039295537133 -0.0024611508010091 100.0073772249643400 0.0094868073769983 0.6115258236952136  1.8849553728315518 398.6881825626450100
0.0152378235522130 0.0159148361888379 0.0104265935298771 0.0097129062233390 99.9954582429343620 0.0130779196438948 0.6115415440847188  1.8849553733596132 398.6589754395897100
0.0155547361234390 0.0161431931429796 0.0105322439235378 0.0041766110965064 100.0029249734038500 0.0131457628897095 0.6115572752249855  1.8849553631872302 398.6019729523798700
0.0159839446879797 0.0165988145629746 0.0106395763519308 0.0024605218069879 100.0118924395276400 0.0186010200728932 0.6115730084558154  1.8849553545894555 398.5898688671428500
0.0161337582658909 0.0171579063950698 0.0107750823158955 0.0046400994937723 100.0117961315381500 0.0143131014820439 0.6115887372275463  1.8849553484733415 398.4992603543626000
0.0163997535620059 0.0172567912985101 0.0109829294361663 0.0208835640967222 100.0066998914948600 0.0110557804265795 0.6116044626426909  1.8849553529478287 398.4120803325724300
0.0164060431647980 0.0177092308367106 0.0110244867856129 0.0137275689725610 100.0057051708419900 0.0122723733105958 0.6116201900155215  1.8849553430824837 398.3599569520627000
0.0166885536599261 0.0181906863426690 0.0111910344096780 0.0157180733645023 99.9994744150788790 0.0154724791732848 0.6116359137953453  1.8849553384965037 398.3248430275700100
0.0169296710092965 0.0183483575355494 0.0113505308977143 0.0008510076340671 100.0026946414642900 0.0152545479095573 0.6116516427759777  1.8849553214487240 398.2634405351469100
0.0171179521880511 0.0187015944234433 0.0114659004728528 0.0042022796691594 100.0094441579825900 0.0176545936714415 0.6116673747360978  1.8849553154384584 398.2244091674684200
0.0171069599661874 0.0191915241907839 0.0116055510832846 0.0023642072214228 100.0132585550705900 0.0202744712517724 0.6116831057198805  1.8849553059322164 398.1879307307543200
