-0.0000001846140896 0.0006567465832020 -0.0009588487810875 0.0019341423684691 0.9999156208989953 -0.0134730473076201 0.6108660403571449  1.8849555932131725 399.9461067172919700
-0.0000002527476729 0.0006977821418625 -0.0010187874275428 0.0021752461891656 0.9999155384503249 -0.0143150419697609 0.6108661190061006  1.8849555934094651 399.9391596946052200
-0.0000003156281450 0.0007388156681864 -0.0010787278988432 0.0024304810982439 0.9999154572120339 -0.0151570263299687 0.6108661976550500  1.8849555936294795 399.9317916769168700
-0.0000003732554748 0.0007798470351254 -0.0011386702834570 0.0026998463797994 0.9999153741618724 -0.0159990001193263 0.6108662763039926  1.8849555938745668 399.9240026699736200
-0.0000004256296580 0.0008208761156378 -0.0011986146698480 0.0029833412742626 0.9999152862776444 -0.0168409612689789 0.6108663549529284  1.8849555941460785 399.9157926796256100
-0.0000004727507171 0.0008619027826887 -0.0012585611464751 0.0032809649783607 0.9999151905372209 -0.0176829095101420 0.6108664336018574  1.8849555944453638 399.9071617115715800
-0.0000005146187011 0.0009029269092509 -0.0013185098017920 0.0035927166449503 0.9999150839185536 -0.0185248459741023 0.6108665122507786  1.8849555947737737 399.8981097720634400
-0.0000005512336860 0.0009439483683049 -0.0013784607242472 0.0039185953831850 0.9999149633996888 -0.0193667703922229 0.6108665908996909  1.8849555951326586 399.8886368675843500
-0.0000005825957744 0.0009849670328394 -0.0014384140022833 0.0042586002585625 0.9999148259587787 -0.0202086808959506 0.6108666695485929  1.8849555955233697 399.8787430047377100
-0.0000006087050957 0.0010259827758517 -0.0014983697243371 0.0046127302928963 0.9999146685740922 -0.0210505767168162 0.6108667481974837  1.8849555959472570 399.8684281900031600
-0.0000006295618060 0.0010669954703480 -0.0015583279788392 0.0049809844641230 0.9999144882240316 -0.0218924593864373 0.6108668268463608  1.8849555964056701 399.8576924303184200
-0.0000006451660881 0.0011080049893440 -0.0016182888542137 0.0053633617065038 0.9999142818871447 -0.0227343285365293 0.6108669054952232  1.8849555968999587 399.8465357328954000
-0.0000006555181515 0.0011490112058651 -0.0016782524388778 0.0057598609106478 0.9999140465421343 -0.0235761824989038 0.6108669841440683  1.8849555974314738 399.8349581050881600
-0.0000006606182326 0.0011900139929470 -0.0017382188212419 0.0061704809235135 0.9999137791678761 -0.0244180201054743 0.6108670627928937  1.8849555980015635 399.8229595541188200
-0.0000006604665944 0.0012310132236358 -0.0017981880897090 0.0065952205481645 0.9999134767434265 -0.0252598430882603 0.6108671414416969  1.8849555986115800 399.8105400876418100
-0.0000006550635266 0.0012720087709887 -0.0018581603326744 0.0070340785440170 0.9999131362480387 -0.0261016510793935 0.6108672200904747  1.8849555992628702 399.7976997136048000
-0.0000006444093457 0.0013130005080740 -0.0019181356385256 0.0074870536268449 0.9999127546611739 -0.0269434426111193 0.6108672987392245  1.8849555999567855 399.7844384401102500
-0.0000006285043949 0.0013539883079720 -0.0019781140956422 0.0079541444688120 0.9999123289625149 -0.0277852161158012 0.6108673773879424  1.8849556006946739 399.7707562751255600
-0.0000006073490441 0.0013949720437750 -0.0020380957923950 0.0084353496981665 0.9999118561319802 -0.0286269735259281 0.6108674560366252  1.8849556014778863 399.7566532270188300
-0.0000005809436899 0.0014359515885879 -0.0020980808171464 0.0089306678995430 0.9999113331497334 -0.0294687143741146 0.6108675346852691  1.8849556023077709 399.7421293044857900
-0.0000005492887557 0.0014769268155285 -0.0021580692582498 0.0094400976139254 0.9999107569961971 -0.0303104375931058 0.6108676133338696  1.8849556031856773 399.7271845163981500
-0.0000005123846915 0.0015178975977277 -0.0022180612040493 0.0099636373387667 0.9999101246520693 -0.0311521411157863 0.6108676919824230  1.8849556041129536 399.7118188714355800
-0.0000004702319741 0.0015588638083305 -0.0022780567428795 0.0105012855275653 0.9999094330983311 -0.0319938270751780 0.6108677706309243  1.8849556050909491 399.6960323786761400
-0.0000004228311071 0.0015998253204956 -0.0023380559630654 0.0110530405902427 0.9999086793162629 -0.0328354950044470 0.6108678492793691  1.8849556061210113 399.6798250475507600
-0.0000003701826204 0.0016407820073965 -0.0023980589529218 0.0116189008930788 0.9999078602874552 -0.0336771440369077 0.6108679279277522  1.8849556072044904 399.6631968876716900
-0.0000003122870712 0.0016817337422214 -0.0024580658007532 0.0121988647588798 0.9999069729938228 -0.0345187717060294 0.6108680065760682  1.8849556083427328 399.6461479084701400
-0.0000002491450429 0.0017226803981737 -0.0025180765948534 0.0127929304664679 0.9999060144176178 -0.0353603802454345 0.6108680852243119  1.8849556095370867 399.6286781197626400
-0.0000001807571458 0.0017636218484726 -0.0025780914235056 0.0134010962511209 0.9999049815414415 -0.0362019693889087 0.6108681638724774  1.8849556107889005 399.6107875317030700
-0.0000001071240170 0.0018045579663535 -0.0026381103749817 0.0140233603045043 0.9999038713482554 -0.0370435383704052 0.6108682425205589  1.8849556120995232 399.5924761546210100
-0.0000000282463200 0.0018454886250679 -0.0026981335375421 0.0146597207748644 0.9999026808213981 -0.0378850843240426 0.6108683211685498  1.8849556134703007 399.5737439987029200
0.0000000558752548 0.0018864136978844 -0.0027581609994357 0.0153101757664322 0.9999014069445950 -0.0387266096841156 0.6108683998164444  1.8849556149025806 399.5545910744708100
0.0000001452399903 0.0019273330580887 -0.0028181928488992 0.0159747233399376 0.9999000467019719 -0.0395681141850943 0.6108684784642354  1.8849556163977097 399.5350173928092700
0.0000002398471428 0.0019682465789841 -0.0028782291741574 0.0166533615125096 0.9998985970780686 -0.0404095972616346 0.6108685571119162  1.8849556179570359 399.5150229647821300
0.0000003396959419 0.0020091541338922 -0.0029382700634223 0.0173460882579295 0.9998970550578507 -0.0412510556485758 0.6108686357594796  1.8849556195819059 399.4946078013341500
0.0000004447855905 0.0020500555961526 -0.0029983156048932 0.0180529015059295 0.9998954176267226 -0.0420924919809486 0.6108687144069180  1.8849556212736660 399.4737719136884900
0.0000005551152650 0.0020909508391240 -0.0030583658867565 0.0187737991427879 0.9998936817705403 -0.0429339059939786 0.6108687930542239  1.8849556230336624 399.4525153134591700
0.0000006706841149 0.0021318397361841 -0.0031184209971850 0.0195087790112008 0.9998918444756239 -0.0437752972230891 0.6108688717013895  1.8849556248632426 399.4308380124417700
0.0000007914912632 0.0021727221607303 -0.0031784810243381 0.0202578389105617 0.9998899027287714 -0.0446166622039084 0.6108689503484067  1.8849556267637515 399.4087400223905300
0.0000009175358061 0.0022135979861800 -0.0032385460563613 0.0210209765962242 0.9998878535172697 -0.0454580036722752 0.6108690289952674  1.8849556287365343 399.3862213551769900
0.0000010488168133 0.0022544670859708 -0.0032986161813858 0.0217981897801196 0.9998856938289110 -0.0462993213642317 0.6108691076419628  1.8849556307829374 399.3632820231432600
0.0000011853333278 0.0022953293335613 -0.0033586914875286 0.0225894761306254 0.9998834206519988 -0.0471406148160388 0.6108691862884841  1.8849556329043065 399.3399220388140500
0.0000013270843659 0.0023361846024310 -0.0034187720628919 0.0233948332728379 0.9998810309753685 -0.0479818807641795 0.6108692649348224  1.8849556351019869 399.3161414147014100
0.0000014740689173 0.0023770327660811 -0.0034788579955630 0.0242142587878708 0.9998785217883961 -0.0488231215453611 0.6108693435809682  1.8849556373773224 399.2919401633758400
0.0000016262859452 0.0024178736980347 -0.0035389493736138 0.0250477502134098 0.9998758900810103 -0.0496643369965174 0.6108694222269119  1.8849556397316580 399.2673182979223700
0.0000017837343859 0.0024587072718373 -0.0035990462851009 0.0258953050436093 0.9998731328437062 -0.0505055268548128 0.6108695008726441  1.8849556421663396 399.2422758316062100
0.0000019464131494 0.0024995333610568 -0.0036591488180649 0.0267569207294003 0.9998702470675592 -0.0513466879576556 0.6108695795181548  1.8849556446827089 399.2168127776628800
0.0000021143211187 0.0025403518392847 -0.0037192570605305 0.0276325946777802 0.9998672297442369 -0.0521878222426863 0.6108696581634335  1.8849556472821110 399.1909291493627700
0.0000022874571506 0.0025811625801355 -0.0037793711005060 0.0285223242523056 0.9998640778660106 -0.0530289297477964 0.6108697368084699  1.8849556499658895 399.1646249605134900
0.0000024658200750 0.0026219654572480 -0.0038394910259832 0.0294261067730514 0.9998607884257703 -0.0538700102111247 0.6108698154532530  1.8849556527353883 399.1379002251040300
0.0000026494086953 0.0026627603442850 -0.0038996169249368 0.0303439395168925 0.9998573584170363 -0.0547110606710651 0.6108698940977724  1.8849556555919498 399.1107549571204900
0.0000028382217883 0.0027035471149342 -0.0039597488853246 0.0312758197168418 0.9998537848339715 -0.0555520826662658 0.6108699727420163  1.8849556585369178 399.0831891705364000
0.0000030322581043 0.0027443256429080 -0.0040198869950869 0.0322217445624561 0.9998500646713947 -0.0563930764356406 0.6108700513859737  1.8849556615716345 399.0552028798777500
0.0000032315163669 0.0027850958019447 -0.0040800313421463 0.0331817111998637 0.9998461949247943 -0.0572340417183681 0.6108701300296332  1.8849556646974428 399.0267960998546100
0.0000034359952731 0.0028258574658081 -0.0041401820144073 0.0341557167320163 0.9998421725903381 -0.0580749757538962 0.6108702086729825  1.8849556679156856 398.9979688452007200
