0.0483882192968098 0.0317101254112353 359.9785467371247600 0.0000629997393054 0.1040829836350810 0.0001442266893534 0.6108656058589597  1.8849555914163134 399.9950736558969900
0.0640826048869048 0.0681347869700889 359.9410773087252000 0.0004585521049065 -0.0499937985018345 0.0058410444319954 0.6108656283260499  1.8849555928714135 399.9892397800949800
0.0733995921407002 0.1066338669596409 359.9315947033083500 0.0039580950573251 0.2112196645425628 0.0089263909000905 0.6108656361959223  1.8849555938987055 399.9862243869487200
0.0904051962264292 0.1283599846621840 359.9216333966991200 0.0096263416985811 0.2636165935633564 0.0136493276146867 0.6108656730464251  1.8849555947625112 399.9822224640858500
0.1208541522750292 0.1805092916030806 359.8889831218817800 0.0161586697387974 0.4781059843384096 0.0169517603480077 0.6108657376344578  1.8849555953808022 399.9805265837966900
0.1559426645343391 0.1867583623324797 359.8627104260983200 0.0242279769942513 0.5261417112366565 0.0211029545222564 0.6108658134189526  1.8849555958834632 399.9785667265794000
0.1775757528265313 0.2185294848080527 359.8388424382469600 0.0311302195669391 0.5655761071889709 0.0245866721816505 0.6108658947902131  1.8849555961274951 399.9777006820147000
0.1895008826505710 0.2685003433571712 359.7994548018929200 0.0382198711720422 0.6565100916866150 0.0271629903909637 0.6108659923247221  1.8849555958380695 399.9784114342184000
0.1751028554555405 0.2791894946553016 359.7661786031758300 0.0434183374279759 0.7541143453693630 0.0291777546029821 0.6108661057829071  1.8849555952356563 399.9800273650693000
0.2241951035857313 0.3130254574163049 359.7466249533285900 0.0474998588525164 0.8730624104020283 0.0309118117070905 0.6108662399709089  1.8849555941276683 399.9833292603906300
0.2661969099005549 0.3578005950662593 359.7153146131324800 0.0532568712062495 0.9926026819544246 0.0325686096854514 0.6108663945792646  1.8849555923569450 399.9882497775717000
0.2968456427682538 0.3897446768010444 359.6885798575804100 0.0586967837352297 0.9286510564376945 0.0340294363619800 0.6108665419374182  1.8849555905001514 399.9933697253098900
0.3795057291710992 0.4039162540065178 359.6604135879238700 0.0630550619085395 0.9509388480947331 0.0357098175060488 0.6108667006852844  1.8849555884978824 400.0006000097696400
0.4159084125316072 0.4293832651307288 359.6342156296571500 0.0669535569928440 0.8975667626814319 0.0370061779773036 0.6108668468402051  1.8849555865505354 400.0079974920298600
0.4167697391210933 0.4601703671380386 359.6129261329674600 0.0720778103013554 0.9316809381535329 0.0388017889891938 0.6108670059616620  1.8849555842389494 400.0161891460022600
0.4402469991884283 0.5056799768675510 359.5868655246387100 0.0782495872087597 0.9582621373240011 0.0405539971450852 0.6108671691640086  1.8849555817328989 400.0251189262933200
0.4726127565919153 0.5238070212897837 359.5362464724373700 0.0823788151294182 1.0791391894791440 0.0429425246929974 0.6108673597590619  1.8849555790545207 400.0360597431530300
0.4988788615961738 0.5349136804913611 359.5095462952433000 0.0893491533437858 0.9037382633214484 0.0433830630539056 0.6108674994674448  1.8849555768382884 400.0447261025396400
0.5207351678138625 0.5504117343823963 359.4899137411648600 0.0928000502893916 0.9103418082561210 0.0451808192898280 0.6108676557179570  1.8849555745547717 400.0547721337583800
0.5657202974126510 0.6192295312653070 359.4618485430372100 0.0969618066249909 1.0048258927207891 0.0478616864627411 0.6108678350484926  1.8849555716914697 400.0669672698176100
0.6244021740201478 0.6773778217350136 359.4380336220945100 0.1060794916549571 0.9734266942786235 0.0496259048148446 0.6108680007177917  1.8849555686053496 400.0792906682474400
0.6658779718056366 0.6987749184560934 359.3959288817239300 0.1140807750551140 1.0313800604498262 0.0522541902008235 0.6108681839369797  1.8849555653193881 400.0936212985769200
0.6801791680863802 0.7033436346020993 359.3800869876727100 0.1186628541769170 1.0087630458040713 0.0543850465831201 0.6108683575826234  1.8849555625909193 400.1074703276324300
0.7020837164004372 0.7044140512516219 359.3497907386159800 0.1207423844686648 0.9834153314395026 0.0563560423601969 0.6108685276576119  1.8849555600909427 400.1214541115193100
0.7301518459846016 0.7474761374790370 359.3074126113357900 0.1240575541336682 0.9628659883498631 0.0586459674010258 0.6108686955717906  1.8849555572659518 400.1357088058841200
0.7596972515696489 0.7723319002799856 359.2734099812786300 0.1289538649952843 0.9754052821134065 0.0611716134044806 0.6108688691483305  1.8849555541023475 400.1511309307634300
0.8096787422995340 0.8284786631739660 359.2283262949873700 0.1365221407873995 0.8724776436579573 0.0623501410612478 0.6108690180735831  1.8849555510468796 400.1652341303902700
0.8481624453661769 0.8574466727183159 359.1985379075277900 0.1443628534232539 0.8312949262505579 0.0644007831345258 0.6108691666415438  1.8849555478864002 400.1799174971627100
0.8862341630411794 0.8868161444301290 359.1821811576338100 0.1491875682245165 0.9088190761716355 0.0681907832772760 0.6108693388563600  1.8849555444430108 400.1975250323027900
0.9107191416696080 0.9148130811258103 359.1906566659139900 0.1552818890343157 0.8721491407275542 0.0704829169184225 0.6108694964487398  1.8849555413936667 400.2140944434308900
0.9207047422226810 0.9244850742127182 359.1716369935475700 0.1595813627277628 0.8750333173720868 0.0733170546369011 0.6108696583695028  1.8849555383660470 400.2312559772005300
