1.0679963602626634 0.9351828244200212 359.9950904930793200 -0.1068667574686870 29.9929759158316070 0.0220496963443437 0.6109635776082202  1.8849555659754069 400.5546004651435500 0.0000300351684590  0.0000578858809628 0.0000410675987529 -0.0002011706395898  0.0002873937481196 0.0100310013595497 0.0183384678656928  0.0165161601547136 0.0001078116753562
1.0674016738821348 0.9332471369967963 0.4157418052096579 -0.1102660641204361 39.9928569984398830 0.0325106640304640 0.6109690824540284  1.8849555506071076 400.5787302677026100 0.0000334884258719  0.0000557930422187 0.0000418113097100 -0.0002030426912938  0.0009138074464642 0.0101957445406827 0.0182889241670375  0.0164724097820000 -0.0102665570230555
1.0581182523248502 0.9317387804930812 0.6906550645721414 -0.0553766744745021 49.9955308330656860 0.0270218493916592 0.6109761605993312  1.8849555384613030 400.6066969527406600 0.0000349381093947  0.0000545919749366 0.0000420652507942 -0.0002031522724641  0.0014706043388534 0.0102793663432641 0.0182380662338070  0.0164501836540405 -0.0119547589630645
1.0545000487182878 0.9355426354108444 0.7550960156002269 -0.0651440666852680 59.9958267618405690 0.0319444049626831 0.6109848119412713  1.8849555259148898 400.6378938867703700 0.0000364996508490  0.0000535879377175 0.0000422085057413 -0.0002025223017965  0.0021295902997460 0.0103502407125292 0.0181770601885855  0.0164292554220903 -0.0130450596178781
1.0517453761269919 0.9339280867328812 0.7963344666904845 -0.0721326153275468 69.9975432669726130 0.0355416031598947 0.6109950366337771  1.8849555133871934 400.6703278109487200 0.0000378536156060  0.0000527166702210 0.0000423629612144 -0.0002015186569436  0.0028252713153604 0.0104041813806993 0.0181119616844889  0.0164097153686171 -0.0137951151872685
1.0458907098276233 0.9341711357083326 0.8273624438302017 -0.0748874598344448 79.9994805938018630 0.0381073611705011 0.6110068346212147  1.8849555009286034 400.7034057805968200 0.0000401956385111  0.0000510258379454 0.0000427771774450 -0.0001995756989758  0.0041423381676009 0.0104623022974753 0.0179885754147245  0.0163730319405514 -0.0147692590492072
1.0335435994544033 0.9323605352957942 0.8711932173203775 -0.0546673130350630 89.9987977464127060 0.0249965189000268 0.6110202058204971  1.8849554896782861 400.7318571034736000 0.0000411071495963  0.0000502941801325 0.0000430078099408 -0.0001984867048055  0.0046907277076878 0.0104712807880135 0.0179372986885046  0.0163566689690845 -0.0150925540220133
1.0326923554620091 0.9323651598830322 0.8831469600097766 -0.0589352813745294 100.0004017509018900 0.0250951922432088 0.6110351502115552  1.8849554783481954 400.7583931556894800 0.0000418377166269  0.0000496037483487 0.0000432797929059 -0.0001989075839792  0.0051573130036984 0.0104718501023886 0.0178937578778055  0.0163408702455339 -0.0153568121249789
1.0291263723475013 0.9338064599599132 0.8973465010795083 -0.0626843077649573 110.0008054923650700 0.0265047196313450 0.6110516677926030  1.8849554669749640 400.7828593334896800 0.0000425415625960  0.0000488649381527 0.0000436456044109 -0.0001993539597415  0.0055513137455071 0.0104661512474801 0.0178578151976956  0.0163257549484378 -0.0155703515432921
1.0265705571785970 0.9366318539388281 0.9091769106830444 -0.0651147830820487 120.0024580045991600 0.0292548792190033 0.6110697584852491  1.8849554556163473 400.8074207904617200 0.0000436453935809  0.0000479504299646 0.0000440224808095 -0.0002002212484627  0.0062016267751644 0.0104440948197740 0.0177984494075370  0.0162982850784423 -0.0159223857998116
